season,soil_moisture,temperature,humidity,rain_probability,time_of_day,soil_ec,action_state
Monsoon,290,28.1,89,0.63,6,1.2,0
Monsoon,675,25.1,88,0.69,9,2.2,0
Pre-Monsoon,827,29.0,79,0.5,6,3.21,0
Monsoon,944,27.5,98,0.64,12,2.12,0
Winter,568,21.0,75,0.01,2,1.31,1
Post-Monsoon,849,23.6,71,0.35,0,1.42,1
Monsoon,648,26.7,88,0.75,9,2.16,0
Pre-Monsoon,491,30.9,84,0.41,1,2.28,0
Monsoon,726,26.1,88,0.82,8,1.23,0
Winter,477,17.1,68,0.02,2,2.14,0
Winter,564,12.2,77,0.12,16,1.78,1
Pre-Monsoon,639,30.3,75,0.5,16,2.17,0
Winter,754,21.9,75,0.08,17,1.7,1
Pre-Monsoon,358,30.1,80,0.39,5,1.51,0
Monsoon,901,24.5,91,0.79,14,2.37,0
Pre-Monsoon,485,30.5,62,0.47,6,2.2,0
Monsoon,445,26.4,92,0.74,5,1.56,0
Pre-Monsoon,937,30.6,69,0.22,10,2.22,1
Monsoon,774,24.9,85,0.85,15,3.05,0
Post-Monsoon,405,23.6,79,0.37,5,1.6,0
Monsoon,448,27.3,93,0.9,8,1.58,0
Monsoon,772,27.1,86,0.76,3,1.11,0
Monsoon,616,25.4,93,0.86,14,1.74,0
Monsoon,259,26.6,86,0.85,0,1.54,0
Monsoon,537,28.5,93,0.74,17,0.92,0
Pre-Monsoon,385,28.2,75,0.31,13,1.79,0
Winter,870,20.5,73,0.04,21,2.93,2
Winter,759,19.5,78,0.0,10,2.41,1
Monsoon,492,29.9,90,0.89,8,1.63,0
Winter,904,13.8,69,0.03,1,2.34,1
Pre-Monsoon,400,32.7,83,0.36,14,2.13,0
Monsoon,559,25.4,89,0.56,17,1.84,0
Winter,361,12.1,76,0.1,8,1.35,0
Monsoon,887,27.6,92,0.69,14,1.61,0
Winter,393,20.5,71,0.14,21,1.35,0
Pre-Monsoon,432,30.5,68,0.3,2,1.14,4
Pre-Monsoon,620,28.0,62,0.52,15,0.76,0
Monsoon,615,27.8,98,0.51,5,2.76,0
Winter,318,12.9,65,0.13,22,2.85,0
Monsoon,813,27.5,93,0.89,7,2.0,0
Pre-Monsoon,868,27.5,60,0.12,6,2.2,1
Post-Monsoon,617,26.6,76,0.15,11,1.02,3
Winter,807,14.0,70,0.0,22,2.5,1
Pre-Monsoon,400,31.5,81,0.27,23,1.84,0
Winter,848,16.4,78,0.03,17,2.36,1
Post-Monsoon,385,28.0,83,0.13,19,3.26,0
Winter,522,15.0,80,0.05,20,1.02,0
Post-Monsoon,449,26.0,70,0.15,12,2.11,0
Monsoon,880,23.1,93,0.98,5,2.32,0
Post-Monsoon,396,23.7,71,0.21,5,2.52,0
Post-Monsoon,256,22.1,79,0.23,23,1.61,0
Post-Monsoon,910,21.7,78,0.15,8,1.82,1
Post-Monsoon,283,20.8,78,0.19,19,2.69,0
Post-Monsoon,723,23.4,80,0.23,23,2.0,1
Winter,436,20.8,69,0.15,1,1.81,0
Winter,823,14.5,79,0.02,11,2.39,1
Post-Monsoon,634,24.9,75,0.32,18,1.65,1
Monsoon,878,26.6,89,0.99,13,2.93,0
Monsoon,821,25.9,93,0.91,19,2.61,0
Pre-Monsoon,695,27.7,66,0.59,10,1.71,0
Monsoon,873,28.6,92,0.52,18,1.26,0
Monsoon,373,25.8,92,0.8,0,1.38,0
Monsoon,506,26.8,85,0.95,18,1.1,0
Monsoon,637,23.9,91,0.77,12,1.2,0
Winter,497,15.3,78,0.03,12,1.3,0
Post-Monsoon,398,25.7,78,0.3,6,1.06,4
Monsoon,489,24.2,86,0.81,4,1.12,0
Post-Monsoon,343,24.9,84,0.37,19,2.3,0
Pre-Monsoon,909,29.8,76,0.4,12,2.95,0
Winter,531,19.9,79,0.09,4,2.34,0
Post-Monsoon,401,24.7,74,0.34,18,1.74,0
Post-Monsoon,649,21.3,78,0.3,7,1.81,1
Post-Monsoon,656,20.7,73,0.26,22,1.02,3
Monsoon,465,27.6,95,0.53,14,1.27,0
Post-Monsoon,479,21.0,83,0.25,5,1.38,0
Monsoon,279,24.9,88,0.65,23,1.88,0
Post-Monsoon,608,21.1,82,0.1,6,2.31,1
Monsoon,658,28.0,98,0.9,0,2.46,0
Monsoon,571,29.0,94,0.8,3,2.56,0
Pre-Monsoon,615,28.4,62,0.17,21,2.25,1
Post-Monsoon,698,25.0,73,0.12,21,2.68,1
Pre-Monsoon,410,25.4,71,0.45,21,1.39,0
Pre-Monsoon,775,31.1,76,0.51,20,1.61,0
Monsoon,582,28.5,95,0.97,17,1.63,0
Winter,870,12.1,71,0.15,15,2.61,1
Monsoon,559,29.7,96,0.68,9,2.58,0
Winter,843,14.7,72,0.02,10,3.19,2
Monsoon,428,26.6,91,0.85,4,2.58,0
Winter,340,20.3,68,0.08,14,2.59,0
Monsoon,306,26.8,89,0.87,5,1.34,0
Pre-Monsoon,309,30.4,71,0.22,23,2.69,0
Monsoon,353,27.3,95,0.72,1,2.4,0
Pre-Monsoon,736,29.6,65,0.12,1,2.69,1
Post-Monsoon,695,23.5,81,0.28,13,1.25,1
Post-Monsoon,752,27.6,74,0.22,6,2.12,1
Pre-Monsoon,773,27.5,62,0.45,7,1.72,0
Monsoon,495,25.2,96,0.6,22,2.61,0
Winter,537,20.8,79,0.13,0,3.04,0
Monsoon,850,29.3,96,0.73,14,2.2,0
Winter,636,13.9,76,0.09,1,1.88,1
Monsoon,483,27.8,95,0.96,5,1.52,0
Monsoon,936,23.6,91,0.7,16,1.14,0
Monsoon,859,23.3,94,0.81,5,1.36,0
Monsoon,463,28.9,93,0.75,6,2.79,0
Post-Monsoon,825,25.5,75,0.39,4,1.54,0
Monsoon,553,24.1,98,0.66,13,1.74,0
Pre-Monsoon,372,25.3,63,0.26,6,3.08,0
Monsoon,311,29.9,87,0.8,2,1.61,0
Monsoon,777,27.0,94,0.97,5,1.98,0
Pre-Monsoon,501,28.4,69,0.16,18,2.85,0
Post-Monsoon,565,25.0,78,0.32,17,1.55,1
Post-Monsoon,276,25.2,74,0.33,2,1.34,0
Monsoon,296,26.8,93,0.69,16,2.03,0
Post-Monsoon,562,21.8,81,0.34,19,2.35,1
Post-Monsoon,426,25.7,84,0.38,16,1.11,0
Monsoon,866,23.9,89,0.66,12,1.59,0
Monsoon,760,24.3,97,0.9,15,2.77,0
Monsoon,298,25.8,90,0.71,16,2.17,0
Winter,846,17.8,79,0.06,22,1.51,1
Pre-Monsoon,740,31.4,77,0.12,1,2.28,1
Pre-Monsoon,766,29.7,80,0.33,2,1.26,1
Post-Monsoon,899,24.5,81,0.31,17,2.19,1
Post-Monsoon,518,24.8,70,0.19,21,1.49,0
Winter,798,21.0,68,0.04,1,1.56,1
Monsoon,430,22.6,92,0.53,22,1.8,0
Monsoon,943,25.6,98,0.56,14,1.53,0
Monsoon,712,28.5,90,0.56,13,2.16,0
Monsoon,929,23.2,98,0.89,2,1.52,0
Post-Monsoon,625,25.9,71,0.1,19,1.77,1
Monsoon,458,22.5,90,0.51,13,1.55,0
Pre-Monsoon,308,29.5,81,0.3,10,2.21,0
Pre-Monsoon,569,27.8,79,0.47,2,1.78,0
Pre-Monsoon,433,28.9,74,0.53,14,1.44,0
Monsoon,796,23.9,92,0.96,11,2.22,0
Monsoon,282,27.2,97,0.77,11,1.71,0
Monsoon,676,26.0,87,0.81,11,2.32,0
Winter,543,18.5,71,0.13,12,2.08,0
Post-Monsoon,943,25.1,83,0.35,0,0.82,3
Monsoon,862,29.4,87,0.86,11,1.67,0
Monsoon,793,25.7,87,0.98,14,2.68,0
Monsoon,826,28.3,90,0.56,10,1.65,0
Monsoon,282,23.1,94,0.79,18,1.6,0
Monsoon,811,30.0,98,0.7,19,2.0,0
Post-Monsoon,544,19.7,83,0.27,23,1.47,0
Winter,563,20.3,70,0.11,3,1.71,1
Monsoon,330,22.8,88,0.7,18,1.58,0
Monsoon,307,27.4,90,0.52,12,2.7,0
Monsoon,432,29.4,90,0.84,4,2.31,0
Pre-Monsoon,435,29.2,71,0.45,13,2.9,0
Monsoon,442,23.9,87,0.63,10,1.43,0
Post-Monsoon,829,26.9,70,0.39,14,1.54,0
Post-Monsoon,371,22.0,71,0.37,23,1.7,0
Post-Monsoon,317,25.3,73,0.24,8,1.45,0
Monsoon,630,28.0,85,0.92,16,2.56,0
Monsoon,455,26.6,91,0.84,20,0.94,0
Monsoon,261,23.3,87,0.65,14,2.9,0
Pre-Monsoon,911,28.2,84,0.59,10,2.53,0
Monsoon,717,27.8,85,0.59,4,2.54,0
Monsoon,946,24.5,91,0.52,19,3.01,0
Post-Monsoon,733,22.8,75,0.24,3,2.44,1
Post-Monsoon,633,18.3,73,0.37,14,1.9,0
Post-Monsoon,903,22.4,77,0.13,2,1.2,1
Monsoon,297,29.3,96,0.98,5,1.35,0
Monsoon,950,29.0,95,0.97,13,1.29,0
Post-Monsoon,826,27.9,84,0.19,19,2.6,1
Post-Monsoon,655,19.6,72,0.16,15,1.98,1
Monsoon,833,27.7,88,0.89,17,1.66,0
Monsoon,879,23.3,96,0.95,18,1.33,0
Post-Monsoon,645,19.6,74,0.32,2,1.31,1
Post-Monsoon,354,27.0,80,0.37,23,2.13,0
Monsoon,538,26.0,94,0.58,7,1.49,0
Monsoon,609,29.5,88,0.92,15,2.6,0
Monsoon,524,29.9,92,0.84,12,3.32,0
Winter,344,13.1,70,0.09,14,1.72,0
Pre-Monsoon,475,29.9,61,0.3,21,1.99,0
Monsoon,537,24.6,88,0.54,9,3.03,0
Post-Monsoon,557,19.1,82,0.29,11,1.04,3
Monsoon,682,24.8,87,0.66,7,2.36,0
Monsoon,734,25.0,98,0.95,0,2.28,0
Monsoon,739,28.8,95,0.55,6,2.29,0
Pre-Monsoon,645,27.7,66,0.39,2,2.04,0
Monsoon,824,24.3,90,0.96,22,2.78,0
Post-Monsoon,579,23.1,70,0.17,11,0.88,3
Winter,923,19.4,65,0.06,18,1.53,1
Monsoon,646,22.0,93,0.52,15,1.7,0
Monsoon,397,25.1,98,0.57,14,2.48,0
Post-Monsoon,941,22.3,75,0.23,1,2.24,1
Winter,468,14.8,68,0.01,16,2.51,0
Monsoon,511,27.8,98,0.63,5,1.8,0
Monsoon,537,29.5,86,0.88,22,1.58,0
Monsoon,607,22.4,94,0.84,19,2.36,0
Post-Monsoon,318,21.0,83,0.12,6,2.7,0
Post-Monsoon,611,24.8,71,0.36,10,1.81,0
Pre-Monsoon,657,25.1,68,0.38,18,2.11,0
Monsoon,947,23.0,88,0.57,21,1.62,0
Post-Monsoon,251,22.7,70,0.13,1,1.39,0
Winter,298,13.6,73,0.04,20,1.79,0
Post-Monsoon,395,26.6,71,0.13,19,2.36,0
Monsoon,465,26.0,88,0.57,11,1.84,0
Monsoon,505,27.1,95,0.94,22,2.71,0
Monsoon,566,22.2,85,0.7,10,2.12,0
Pre-Monsoon,634,26.7,76,0.2,8,3.05,2
Monsoon,672,29.2,95,0.89,5,1.96,0
Post-Monsoon,519,18.7,72,0.33,3,2.41,0
Post-Monsoon,745,25.0,72,0.29,9,1.71,1
Monsoon,444,25.9,93,0.87,5,2.66,0
Post-Monsoon,319,22.3,70,0.16,1,1.61,0
Monsoon,468,27.3,90,0.98,21,2.73,0
Pre-Monsoon,838,27.0,70,0.11,23,1.12,3
Pre-Monsoon,919,30.9,81,0.47,23,1.06,0
Monsoon,534,23.8,88,0.95,22,2.06,0
Monsoon,676,25.1,95,0.67,1,1.53,0
Monsoon,869,25.3,98,0.99,19,1.32,0
Pre-Monsoon,629,27.0,73,0.11,1,1.5,1
Pre-Monsoon,877,32.6,78,0.38,6,1.7,0
Post-Monsoon,811,21.1,78,0.2,21,2.96,2
Winter,872,13.3,73,0.04,20,1.41,1
Pre-Monsoon,941,30.9,85,0.46,8,1.81,0
Monsoon,448,23.8,86,0.54,7,0.79,0
Pre-Monsoon,316,32.7,79,0.32,4,2.05,0
Winter,904,12.7,75,0.03,7,1.91,1
Post-Monsoon,946,26.6,79,0.12,17,2.04,1
Post-Monsoon,880,26.3,83,0.39,2,1.63,0
Post-Monsoon,820,25.7,80,0.23,21,1.55,1
Pre-Monsoon,335,29.4,60,0.17,9,2.14,0
Post-Monsoon,440,23.6,72,0.19,7,1.8,0
Monsoon,576,25.0,97,0.51,14,2.43,0
Winter,669,18.0,69,0.0,2,1.79,1
Monsoon,551,26.6,93,0.55,7,2.0,0
Winter,505,20.5,66,0.13,15,1.96,0
Monsoon,523,26.6,94,0.66,15,2.61,0
Post-Monsoon,742,26.0,83,0.33,12,2.84,2
Pre-Monsoon,287,32.3,71,0.48,9,2.14,0
Monsoon,523,27.4,87,0.61,7,1.36,0
Monsoon,744,28.4,96,0.83,16,1.69,0
Winter,816,15.8,68,0.13,3,1.22,1
Monsoon,486,29.5,89,0.51,12,1.01,0
Monsoon,940,27.8,93,0.6,6,2.33,0
Pre-Monsoon,601,29.9,79,0.45,15,0.97,0
Post-Monsoon,541,22.0,78,0.28,13,3.43,0
Monsoon,418,22.7,85,0.61,3,1.93,0
Monsoon,947,24.4,85,0.67,3,1.48,0
Winter,278,19.4,68,0.04,23,1.4,0
Winter,574,18.9,73,0.06,4,1.06,3
Monsoon,892,24.4,95,0.71,22,1.27,0
Pre-Monsoon,566,31.3,62,0.2,15,1.66,1
Monsoon,763,27.8,91,0.74,3,1.76,0
Post-Monsoon,921,26.2,79,0.19,10,1.45,1
Winter,651,17.1,67,0.14,1,1.98,1
Pre-Monsoon,736,30.4,73,0.35,13,2.68,1
Monsoon,637,29.1,85,0.88,14,1.02,0
Winter,266,18.8,71,0.05,22,1.97,0
Monsoon,455,26.8,94,0.74,20,2.21,0
Pre-Monsoon,470,32.4,72,0.25,14,0.83,0
Post-Monsoon,345,20.7,76,0.38,4,2.55,0
Post-Monsoon,538,21.0,83,0.21,21,3.06,0
Winter,754,12.4,75,0.06,7,1.61,1
Monsoon,849,22.7,87,0.99,13,2.56,0
Post-Monsoon,411,23.4,77,0.29,19,3.36,0
Pre-Monsoon,511,29.7,63,0.46,9,1.91,0
Monsoon,744,28.8,93,0.76,2,1.34,0
Winter,499,18.5,80,0.04,2,1.67,0
Monsoon,919,29.7,88,0.88,23,1.39,0
Winter,628,17.0,69,0.01,5,1.15,3
Post-Monsoon,305,27.6,77,0.36,13,1.09,0
Post-Monsoon,255,22.8,77,0.26,5,1.8,0
Pre-Monsoon,441,30.3,64,0.25,21,2.36,0
Pre-Monsoon,769,26.9,81,0.29,4,1.6,1
Monsoon,499,29.4,88,0.89,1,3.24,0
Post-Monsoon,633,25.3,70,0.26,6,1.38,1
Post-Monsoon,851,24.1,82,0.2,10,1.31,1
Winter,486,16.0,76,0.12,7,2.09,0
Monsoon,555,25.2,96,0.91,22,1.1,0
Monsoon,551,29.3,96,0.66,2,2.33,0
Pre-Monsoon,696,30.2,60,0.36,21,1.33,0
Pre-Monsoon,544,27.1,72,0.42,20,2.56,0
Monsoon,541,25.6,98,0.62,14,1.4,0
Winter,621,20.9,75,0.14,21,2.83,2
Pre-Monsoon,719,29.3,72,0.36,17,1.43,0
Monsoon,360,26.3,94,0.96,21,2.17,0
Monsoon,786,27.7,89,0.87,20,1.41,0
Winter,621,12.2,76,0.11,13,1.3,1
Monsoon,841,28.1,89,0.52,3,1.51,0
Monsoon,597,28.8,92,0.92,23,1.84,0
Post-Monsoon,668,19.3,75,0.31,7,2.59,1
Post-Monsoon,770,19.6,74,0.21,13,3.01,2
Winter,900,17.1,74,0.05,8,1.31,1
Monsoon,661,26.1,89,0.53,22,2.64,0
Monsoon,603,26.1,90,1.0,20,1.87,0
Monsoon,694,25.0,88,0.84,15,2.8,0
Post-Monsoon,253,19.4,77,0.39,14,0.91,0
Monsoon,426,28.6,97,1.0,9,1.71,0
Monsoon,891,28.0,95,0.58,15,2.12,0
Winter,578,20.2,73,0.07,10,1.46,1
Monsoon,405,28.2,91,0.55,18,2.22,0
Pre-Monsoon,793,25.1,83,0.56,9,1.38,0
Monsoon,696,27.6,94,0.93,9,1.38,0
Monsoon,742,24.4,87,0.98,17,2.03,0
Post-Monsoon,763,22.7,75,0.35,16,2.42,1
Monsoon,507,26.2,87,0.58,5,1.49,0
Monsoon,783,24.3,94,0.67,14,1.51,0
Post-Monsoon,667,25.4,71,0.11,17,1.36,1
Winter,567,17.4,70,0.15,21,1.67,1
Monsoon,301,29.4,89,0.79,1,1.33,0
Monsoon,254,25.1,85,0.59,19,1.11,0
Winter,606,16.0,78,0.13,1,2.77,1
Monsoon,413,29.0,92,0.78,10,1.29,0
Winter,256,17.9,71,0.02,22,1.41,0
Winter,294,20.6,79,0.04,15,1.28,0
Winter,881,19.8,69,0.14,9,1.89,1
Monsoon,817,23.3,91,0.8,16,2.67,0
Pre-Monsoon,627,27.6,74,0.14,9,2.07,1
Monsoon,841,27.7,89,0.79,7,1.59,0
Post-Monsoon,818,21.7,77,0.28,8,2.55,1
Post-Monsoon,864,24.7,79,0.3,5,1.81,1
Monsoon,463,28.0,93,0.81,6,1.72,0
Monsoon,900,29.8,87,0.56,12,2.25,0
Post-Monsoon,485,18.2,70,0.31,12,1.06,0
Monsoon,836,29.8,98,0.72,1,1.74,0
Monsoon,859,29.0,88,0.64,18,2.1,0
Monsoon,509,23.6,97,0.93,23,1.69,0
Monsoon,711,27.9,97,0.94,21,3.01,0
Post-Monsoon,405,26.9,85,0.39,12,2.2,0
Post-Monsoon,539,26.1,85,0.19,2,2.54,0
Winter,311,15.7,67,0.12,2,1.3,0
Post-Monsoon,564,26.8,83,0.36,11,3.18,0
Monsoon,504,29.4,92,0.9,13,2.63,0
Winter,726,20.4,77,0.01,0,1.23,1
Winter,493,19.3,70,0.13,2,1.41,0
Monsoon,747,25.3,88,0.9,10,1.26,0
Post-Monsoon,343,20.2,71,0.28,0,1.73,0
Monsoon,288,22.8,93,0.82,4,1.16,0
Monsoon,890,24.3,87,0.6,13,1.97,0
Monsoon,534,23.8,97,0.95,4,1.75,0
Monsoon,899,29.7,88,0.98,3,1.44,0
Post-Monsoon,801,23.8,71,0.13,13,2.89,2
Monsoon,653,25.4,97,0.92,10,1.62,0
Post-Monsoon,831,26.7,73,0.15,22,2.32,1
Pre-Monsoon,608,32.0,61,0.32,4,2.5,1
Pre-Monsoon,280,26.5,64,0.13,20,1.59,0
Monsoon,864,28.3,96,0.86,3,1.52,0
Post-Monsoon,707,24.2,74,0.26,11,1.59,1
Winter,603,16.1,80,0.07,6,2.38,1
Winter,740,12.6,69,0.03,6,1.91,1
Monsoon,381,25.8,92,0.64,0,2.96,0
Post-Monsoon,298,27.8,81,0.11,21,2.26,0
Pre-Monsoon,275,32.6,80,0.41,22,1.47,0
Monsoon,628,29.2,95,0.6,19,1.81,0
Monsoon,700,22.0,89,0.54,16,1.68,0
Winter,543,14.3,67,0.04,8,2.12,0
Monsoon,881,25.9,86,0.56,13,1.64,0
Monsoon,448,23.9,94,0.82,20,2.2,0
Monsoon,303,22.6,90,0.56,2,1.17,0
Winter,599,20.0,74,0.14,23,1.92,1
Monsoon,411,24.4,94,0.9,7,2.08,0
Winter,612,17.4,80,0.05,20,1.34,1
Post-Monsoon,603,27.4,76,0.17,8,3.39,2
Monsoon,926,24.3,93,0.75,22,2.13,0
Pre-Monsoon,810,29.4,79,0.15,22,2.82,2
Monsoon,779,28.2,88,0.63,15,1.16,0
Post-Monsoon,842,22.7,85,0.23,15,2.27,1
Monsoon,856,26.3,95,0.58,22,1.95,0
Monsoon,911,23.5,88,0.53,18,2.0,0
Monsoon,297,28.6,85,0.9,18,1.49,0
Monsoon,320,26.0,97,0.92,20,1.84,0
Monsoon,532,28.3,89,0.59,18,2.02,0
Monsoon,749,24.5,96,0.75,14,2.07,0
Monsoon,511,27.3,94,0.57,2,2.25,0
Monsoon,404,29.6,94,0.89,18,1.86,0
Monsoon,387,24.1,87,0.81,22,2.84,0
Pre-Monsoon,866,25.0,79,0.34,10,2.34,1
Monsoon,737,24.8,87,0.87,4,1.21,0
Post-Monsoon,738,26.3,72,0.19,1,1.67,1
Monsoon,830,26.1,91,0.79,19,1.07,0
Post-Monsoon,574,20.2,76,0.13,3,2.45,1
Monsoon,487,29.2,94,0.98,2,0.93,0
Winter,588,18.6,74,0.01,18,1.86,1
Post-Monsoon,411,24.2,77,0.38,6,2.47,0
Winter,898,21.6,77,0.01,21,2.56,1
Winter,515,15.2,72,0.14,16,2.08,0
Pre-Monsoon,345,25.6,81,0.24,21,0.88,4
Post-Monsoon,628,23.2,76,0.14,9,1.53,1
Monsoon,912,27.5,96,0.7,0,1.99,0
Monsoon,652,28.6,92,0.83,18,2.3,0
Pre-Monsoon,910,28.9,61,0.18,7,1.72,1
Monsoon,726,25.9,91,0.69,12,2.37,0
Monsoon,453,23.6,89,0.88,15,1.99,0
Monsoon,915,24.9,98,0.68,12,1.75,0
Post-Monsoon,288,23.6,70,0.19,10,2.41,0
Monsoon,930,26.6,87,0.61,13,1.73,0
Winter,633,16.9,73,0.15,10,0.9,3
Monsoon,390,28.8,94,0.77,6,1.92,0
Monsoon,584,26.5,92,0.93,1,0.85,0
Pre-Monsoon,467,30.5,79,0.56,3,1.69,0
Monsoon,337,23.1,88,0.57,13,1.37,0
Monsoon,649,24.5,92,0.98,8,2.98,0
Monsoon,699,27.4,87,0.92,5,3.22,0
Post-Monsoon,385,18.7,75,0.29,6,2.24,0
Winter,657,13.7,70,0.05,22,1.2,1
Monsoon,785,23.1,94,0.66,6,1.72,0
Pre-Monsoon,530,29.3,68,0.55,12,1.29,0
Post-Monsoon,392,22.9,84,0.34,2,1.99,0
Post-Monsoon,756,19.6,72,0.22,1,1.54,1
Monsoon,864,27.8,95,0.63,19,2.5,0
Monsoon,390,23.6,97,0.67,3,1.42,0
Monsoon,470,26.9,91,0.52,13,2.4,0
Post-Monsoon,917,19.1,80,0.16,12,2.83,2
Monsoon,864,25.7,90,1.0,8,2.23,0
Winter,441,14.2,77,0.06,7,1.94,0
Post-Monsoon,371,26.9,80,0.21,14,2.15,0
Monsoon,355,27.0,91,0.51,11,1.45,0
Monsoon,538,24.5,95,0.69,3,2.56,0
Pre-Monsoon,492,26.6,70,0.46,15,0.9,0
Pre-Monsoon,832,32.9,81,0.21,5,2.06,1
Post-Monsoon,918,20.6,72,0.32,10,1.18,3
Monsoon,653,25.9,94,0.98,8,1.67,0
Winter,712,18.6,78,0.04,16,1.81,1
Winter,693,17.8,79,0.15,10,3.03,2
Winter,712,17.6,72,0.11,3,1.55,1
Pre-Monsoon,399,29.1,68,0.5,13,1.09,0
Monsoon,253,25.3,95,0.98,8,1.53,0
Pre-Monsoon,855,26.1,65,0.37,8,1.3,0
Monsoon,627,29.2,90,0.54,10,1.77,0
Monsoon,804,29.4,98,0.96,5,3.02,0
Winter,599,12.2,71,0.01,1,1.52,1
Post-Monsoon,754,24.5,73,0.28,14,0.76,3
Winter,258,16.1,74,0.09,9,2.09,0
Monsoon,873,22.8,85,0.67,3,0.99,0
Monsoon,562,29.4,94,0.71,20,1.69,0
Pre-Monsoon,423,30.2,68,0.46,3,1.54,0
Post-Monsoon,462,22.1,74,0.28,4,3.4,0
Monsoon,918,29.9,97,0.88,11,1.52,0
Winter,460,17.0,72,0.11,3,3.19,0
Monsoon,847,22.5,95,0.72,12,1.61,0
Pre-Monsoon,362,27.7,77,0.36,3,1.68,0
Pre-Monsoon,665,32.8,68,0.46,22,1.45,0
Monsoon,765,26.8,91,0.64,18,1.17,0
Monsoon,822,26.5,94,0.75,13,2.17,0
Winter,934,15.8,66,0.07,22,1.78,1
Monsoon,640,22.6,91,0.6,14,1.74,0
Pre-Monsoon,251,31.5,72,0.48,7,2.17,0
Monsoon,523,28.0,91,0.89,16,2.08,0
Post-Monsoon,397,18.8,72,0.17,16,2.18,0
Monsoon,413,22.9,88,0.79,16,1.15,0
Monsoon,371,26.6,91,0.96,6,2.5,0
Winter,841,21.3,69,0.13,6,3.24,2
Monsoon,570,22.3,91,0.7,16,1.66,0
Winter,931,16.9,75,0.03,8,1.61,1
Winter,737,12.0,71,0.07,20,1.9,1
Pre-Monsoon,858,30.9,69,0.4,15,2.0,0
Monsoon,266,26.7,86,0.89,22,1.36,0
Winter,387,18.1,79,0.09,0,1.13,4
Monsoon,486,28.1,86,0.73,10,2.43,0
Pre-Monsoon,301,29.8,84,0.12,2,1.39,0
Post-Monsoon,855,21.5,84,0.18,12,1.67,1
Winter,803,15.1,78,0.01,19,2.56,1
Post-Monsoon,440,22.9,79,0.22,4,3.09,0
Monsoon,584,23.7,88,0.71,20,1.59,0
Monsoon,520,28.0,96,0.68,22,2.13,0
Monsoon,555,28.2,97,0.75,19,1.51,0
Monsoon,852,29.8,86,0.7,19,1.79,0
Monsoon,920,24.6,92,0.86,14,0.96,0
Post-Monsoon,677,19.0,82,0.28,18,1.4,1
Post-Monsoon,490,23.6,79,0.13,16,1.5,0
Winter,908,13.3,69,0.09,7,0.76,3
Monsoon,828,23.5,85,0.63,9,2.54,0
Monsoon,460,27.4,96,0.6,15,2.27,0
Pre-Monsoon,492,30.5,72,0.29,8,1.72,0
Pre-Monsoon,680,31.8,66,0.42,17,1.48,0
Winter,900,19.7,77,0.1,5,0.82,3
Monsoon,697,23.8,88,0.95,1,2.51,0
Pre-Monsoon,766,28.6,82,0.58,18,2.1,0
Pre-Monsoon,625,29.7,62,0.47,16,1.56,0
Monsoon,339,24.7,85,0.76,1,1.31,0
Monsoon,642,24.4,96,0.99,1,1.27,0
Monsoon,700,27.4,87,0.69,16,1.48,0
Post-Monsoon,942,20.9,76,0.2,21,0.91,3
Post-Monsoon,382,27.8,71,0.11,3,2.02,0
Pre-Monsoon,338,27.3,72,0.54,22,2.16,0
Post-Monsoon,411,24.8,77,0.21,18,0.81,4
Winter,276,13.0,69,0.13,8,2.38,0
Winter,757,21.4,66,0.05,12,2.09,1
Post-Monsoon,809,19.0,72,0.23,6,1.55,1
Winter,725,17.4,77,0.02,8,1.26,1
Pre-Monsoon,660,29.7,81,0.2,20,2.15,1
Pre-Monsoon,535,29.0,79,0.48,5,2.63,0
Monsoon,329,26.7,86,0.72,1,2.04,0
Pre-Monsoon,442,30.1,78,0.57,2,1.78,0
Pre-Monsoon,922,32.9,68,0.56,10,2.76,0
Monsoon,284,23.8,93,0.8,8,2.18,0
Monsoon,674,25.5,91,0.61,9,1.11,0
Pre-Monsoon,439,28.7,66,0.24,8,1.18,4
Post-Monsoon,452,27.4,78,0.34,15,2.08,0
Monsoon,449,29.8,86,0.62,6,1.14,0
Post-Monsoon,414,21.2,70,0.36,19,1.52,0
Monsoon,423,26.8,95,0.95,14,2.27,0
Monsoon,474,26.6,91,0.66,11,2.3,0
Pre-Monsoon,449,32.4,70,0.26,0,2.6,0
Post-Monsoon,886,22.9,80,0.13,16,1.67,1
Pre-Monsoon,579,31.7,81,0.36,19,2.3,0
Pre-Monsoon,467,32.6,74,0.56,6,1.94,0
Post-Monsoon,409,20.6,76,0.32,9,2.57,0
Pre-Monsoon,543,27.4,68,0.1,8,2.11,0
Winter,411,21.4,71,0.09,4,2.53,0
Post-Monsoon,893,27.8,74,0.31,11,1.97,1
Monsoon,941,28.3,90,0.83,19,1.76,0
Monsoon,469,22.5,93,0.98,20,2.0,0
Pre-Monsoon,325,25.3,60,0.58,4,1.8,0
Winter,358,14.1,77,0.07,4,1.16,4
Monsoon,371,22.2,94,0.93,17,3.09,0
Monsoon,886,30.0,92,0.88,0,2.81,0
Post-Monsoon,373,23.1,85,0.14,6,2.43,0
Post-Monsoon,747,19.6,71,0.15,20,0.89,3
Monsoon,482,22.5,85,0.58,4,2.1,0
Post-Monsoon,355,21.7,81,0.17,19,1.39,0
Monsoon,514,24.7,88,0.75,15,1.89,0
